price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
124000,18242,Skalica,Mallého,68,,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
145000,17262,Prievidza,Prievidza,84,4/6,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,True,panel,,
145000,17262,Prievidza,Prievidza,84,4/6,True,kompletná rekonštrukcia,,4 izbový byt,predaj,True,True,panel,,
145000,17262,Kanianka,Bojnická cesta,84,4/6,True,kompletná rekonštrukcia,,4 izbový byt,predaj,True,True,panel,,
255000,21252,Prievidza časť Píly - Prievidza II,F. Madvu,120,2/3,True,novostavba,Novostavba,3 izbový byt,predaj,False,True,tehla,,
95000,12842,Prievidza časť Centrum,M. Mišíka,74,0/3,False,pôvodný,,3 izbový byt,predaj,False,True,panel,,
224000,32462,Košice IV Juh časť Juh,Južná Trieda,69,,False,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
270000,30212,Liptovský Mikuláš,Osadná,89,,False,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
269000,40762,Bratislava II Ružinov,Martinčekova,66,1/7,True,kompletná rekonštrukcia,,3 izbový byt,predaj,False,True,,,
245000,36842,Bratislava II Ružinov,Prístavná,66,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
385524,49432,Bratislava III Nové Mesto,Varšavská,78,,True,vo výstavbe,,3 izbový byt,predaj,False,True,,,
,,Nitra časť Zobor,Jelenecká,112,,False,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
175000,23032,Košice III Dargovských hrdinov,Krosnianska,76,,False,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
249900,43092,Bratislava V Petržalka,Fialová,58,,False,novostavba,Novostavba,2 izbový byt,predaj,False,False,,,
541140,61802,Bratislava III Nové Mesto,Varšavská,87,6/0,True,vo výstavbe,,4 izbový byt,predaj,True,True,,,
370008,47442,Bratislava III Nové Mesto,Varšavská,78,2/0,True,vo výstavbe,,3 izbový byt,predaj,True,True,,,
255000,45542,Bratislava V Petržalka,Lužná,56,4/6,True,novostavba,Novostavba,2 izbový byt,predaj,True,False,,,
115900,15662,Nové Zámky časť Juh,G. Bethlena,74,0/7,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,True,panel,,
