price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
150000,96152,Nitrianska Blatnica,,1560,,False,,,Rodinný dom,predaj,False,False,,1560,
,,Trenčín časť Centrum,I. Olbrachta,335,,False,,Novostavba,Rodinný dom,predaj,False,False,,551,
269000,24022,Bratislava III Rača,,112,,False,,,Rodinný dom,predaj,False,False,,191,112
289000,290162,Zvolen,,996,,False,,,Rodinný dom,predaj,False,False,,996,996
139990,168262,Nesluša,,832,,False,,,Rodinný dom,predaj,False,False,,832,85
79700,131092,Korňa,,608,,False,,,Rodinný dom,predaj,False,False,,,103
429000,640302,Poprad,,670,,False,,,Rodinný dom,predaj,False,False,,670,180
185000,17622,Martin nad Žitavou,,105,,False,,Novostavba,Rodinný dom,predaj,False,False,,300,
45000,10232,Ľudovítová,,44,,False,,,Rodinný dom,predaj,False,False,,330,44
229999,834932,Šaľa,,275,,False,,,Rodinný dom,predaj,False,False,,601,315
332400,25972,Chorvátsky Grob,,128,,False,,,Rodinný dom,predaj,False,False,,,
289000,290162,Banská Bystrica,,996,,False,,,Rodinný dom,predaj,False,False,,996,996
125000,44522,Beluša,,2808,,False,,,Rodinný dom,predaj,False,False,,2808,
309990,24222,Trnava,,128,,False,,Novostavba,Rodinný dom,predaj,False,False,,455,83
119000,260392,Jasenie,,457,,False,,,"Chalupa, rekreačný domček",predaj,False,False,,457,103
64000,60382,Horné Obdokovce,,1060,,False,,,Rodinný dom,predaj,False,False,,,105
207000,10622,Hurbanovo,,195,,False,,,Rodinný dom,predaj,False,False,,852,235
,,Horná Mariková,,111,,False,,Novostavba,Rodinný dom,predaj,False,False,,1000,111
194000,15522,Nesvady,,125,,False,,Novostavba,Rodinný dom,predaj,False,False,,657,145
234990,78122,Levice,,3008,,False,,,Rodinný dom,predaj,False,False,,3008,
360000,488472,Žilina,,737,,False,,,Rodinný dom,predaj,False,False,,737,100
179000,662962,Bernolákovo,,270,,False,,,Rodinný dom,predaj,False,False,,,
280000,343142,Žilina,,816,,False,,,Rodinný dom,predaj,False,False,,816,113
299000,519102,Veľká Lomnica,,576,,False,,,Rodinný dom,predaj,False,False,,576,150
249000,18042,Modra,,138,,False,,,Rodinný dom,predaj,False,False,,654,
299000,23362,Jablonec,,128,,False,,Novostavba,Rodinný dom,predaj,False,False,,455,83
359900,29022,Bratislava II Ružinov,,124,,False,,,Rodinný dom,predaj,False,False,,105,74
189500,354212,Varín,,535,,False,,,Rodinný dom,predaj,False,False,,,
18000,50002,Lučenec,,360,,False,,,Rodinný dom,predaj,False,False,,,
440000,375432,Pezinok,,1172,,False,,,Rodinný dom,predaj,False,False,,1172,436
,,Mýto pod Ďumbierom,,184,,False,,Novostavba,Rodinný dom,predaj,False,False,,300,70
196000,237582,Žilina,,825,,False,,,Rodinný dom,predaj,False,False,,825,112
168000,14122,Topoľnica,,119,,False,,,Rodinný dom,predaj,False,False,,342,119
149000,15772,Topoľnica,,94,,False,,,Rodinný dom,predaj,False,False,,433,94
53500,199632,Dlhé Pole,,268,,False,,,Vidiecky dom,predaj,False,False,,268,106
79000,79002,Jacovce,,1000,,False,,,Rodinný dom,predaj,False,False,,1000,
118000,244812,Tovarníky,,482,,False,,Novostavba,Rodinný dom,predaj,False,False,,,
34990,9212,Dolný Pial,,3800,,False,,,"Chalupa, rekreačný domček",predaj,False,False,,3800,
257500,91962,Galanta,,2800,,False,,,Rodinný dom,predaj,False,False,,2800,
253000,632502,Potônske Lúky,,400,,False,,Novostavba,Rodinný dom,predaj,False,False,,400,125
159900,13332,Malé Kršteňany,,120,,False,,Novostavba,Rodinný dom,predaj,False,False,,,132
439000,14632,Bernolákovo,Poľná 15,300,,False,,,Rodinný dom,predaj,False,False,,800,132
,,Trenčín časť Kubrá,Zelnica,206,,False,,Novostavba,Rodinný dom,predaj,False,False,,598,129
,,Úbrež,,133,,False,,,Rodinný dom,predaj,False,False,,,
,,Medzev,,696,,False,,,Rodinný dom,predaj,False,False,,,
329000,29122,Miloslavov,Krištálová,113,,False,,Novostavba,Rodinný dom,predaj,False,False,,286,
629000,12452,Miloslavov,Železničná,505,,False,,Novostavba,Rodinný dom,predaj,False,False,,1073,
399000,35952,Šamorín,Bazova,111,,False,,Novostavba,Rodinný dom,predaj,False,False,,332,127
148000,10502,Trenčín,Rosinská,141,,False,,Novostavba,Rodinný dom,predaj,False,False,,368,95
,,Košice II Pereš,Betliarska,320,,False,,,Rodinný dom,predaj,False,False,,1334,220
,,Pezinok,Myslenická,260,,False,,,Rodinný dom,predaj,False,False,,1444,260
1268100,55862,Bratislava III Nové Mesto,Svätovavrinecká,227,,False,,Novostavba,Rodinný dom,predaj,False,False,,361,
969400,60592,Bratislava III Nové Mesto,Svätovavrinecká,160,,False,,Novostavba,Rodinný dom,predaj,False,False,,317,
345000,26542,Ivanka pri Dunaji časť Stará Ivánka,Ružová,130,,False,,,Rodinný dom,predaj,False,False,,335,90
299000,23732,Senec časť Senec-mesto,Šamorínska cesta,126,,False,,,Rodinný dom,predaj,False,False,,513,158
,,Lazisko,,167,,False,,Novostavba,Rodinný dom,predaj,False,False,,808,155
374723,29982,Rosina,,125,,False,,Novostavba,Rodinný dom,predaj,False,False,,481,
398043,29272,Žilina,,136,,False,,Novostavba,Rodinný dom,predaj,False,False,,524,
199900,19992,Igram,,100,,False,,,Rodinný dom,predaj,False,False,,1248,528
130000,10482,Nové Sady,-,124,,False,,,Rodinný dom,predaj,False,False,,1571,
175000,12082,Prievidza,Východná,144,,False,,,Rodinný dom,predaj,False,False,,653,
225700,20712,Veľké Rovné,Veľké Rovné,109,,False,,,"Chata, drevenica, zrub",predaj,False,False,,496,70
370000,12632,Košice IV Krásna,Edisonova,293,,False,,,Rodinný dom,predaj,False,False,,736,162
109090,181822,Lučenec,,600,,False,,,Rodinný dom,predaj,False,False,,600,100
159500,906252,Čadca časť Rieka,Rieka,176,,False,,,"Chata, drevenica, zrub",predaj,False,False,,5086,56
,,Žilina,Bitarová,107,,False,,Novostavba,Rodinný dom,predaj,False,False,,635,
630000,45992,Bratislava IV Záhorská Bystrica,Pri Vápenickom potoku,137,,False,,,Rodinný dom,predaj,False,False,,273,
319900,16002,Nitra,,200,,False,,,Rodinný dom,predaj,False,False,,730,
280000,30972,Bernolákovo,Chmeľová,90,,False,,Novostavba,Rodinný dom,predaj,False,False,,300,
240000,34762,Bernolákovo,Chmeľová,69,,False,,Novostavba,Rodinný dom,predaj,False,False,,300,
164500,22232,Kočovce časť Rakoľuby,,74,,False,,Novostavba,Rodinný dom,predaj,False,False,,280,
,,Banská Bystrica,,110,,False,,,Rodinný dom,predaj,False,False,,576,314
225000,956352,Rajka,Rajka,235,,False,,,Rodinný dom,predaj,False,False,,700,120
395000,23802,Senec,Karasová,166,,False,,Novostavba,Rodinný dom,predaj,False,False,,550,200
159000,11362,Andovce,,140,,False,,,Rodinný dom,predaj,False,False,,730,
349990,29172,Kvetoslavov,,120,,False,,Novostavba,Rodinný dom,predaj,False,False,,597,104
220000,19132,Stupava,,115,,False,,Novostavba,"Chata, drevenica, zrub",predaj,False,False,,589,
798000,28712,Bratislava II Vrakuňa časť Dolné hony,Priehradná,278,,False,,Novostavba,Rodinný dom,predaj,False,False,,737,100
498000,22232,Kvetoslavov,,224,,False,,Novostavba,Rodinný dom,predaj,False,False,,600,285
699000,38832,Bratislava III Nové Mesto,Koliba,180,,False,,,Rodinný dom,predaj,False,False,,411,117
,,Šajdíkove Humence,Golfová,132,,False,,Novostavba,Rodinný dom,predaj,False,False,,358,
425000,34002,Slovenský Grob,,125,,False,,Novostavba,Rodinný dom,predaj,False,False,,532,
194800,17092,Chrastné,,114,,False,,,Rodinný dom,predaj,False,False,,389,
290000,16572,Pezinok,Kučišdorf,175,,False,,,"Chata, drevenica, zrub",predaj,False,False,,,
599000,26042,Bratislava II Vrakuňa,Armenská,230,,False,,,Rodinný dom,predaj,False,False,,585,
348200,16742,Púchov,,208,,False,,Novostavba,Rodinný dom,predaj,False,False,,376,
265000,12052,Košice IV Vyšné Opátske,Jazvečia,220,,False,,,Rodinný dom,predaj,False,False,,400,220
120000,30002,Valaská Belá,Studenec,40,,False,,,"Chata, drevenica, zrub",predaj,False,False,,3840,
219700,18782,Púchov,,117,,False,,Novostavba,Rodinný dom,predaj,False,False,,192,
362600,18312,Púchov,,198,,False,,Novostavba,Rodinný dom,predaj,False,False,,510,
455000,18422,Zvolen časť Môťová,,247,,False,,,Rodinný dom,predaj,False,False,,578,
177000,27662,Rajka,,64,,False,,Novostavba,Rodinný dom,predaj,False,False,,242,
380000,30892,Chorvátsky Grob,Sokolia,123,,False,,Novostavba,Rodinný dom,predaj,False,False,,520,145
69900,43692,Senec,,16,,False,,,"Chata, drevenica, zrub",predaj,False,False,,199,16
499000,22182,Senec,,225,,False,,Novostavba,Rodinný dom,predaj,False,False,,576,116
514990,34442,Hrubá Borša,Okružná,149,,False,,Novostavba,Rodinný dom,predaj,False,False,,496,140
